Country Code,Country Name,F65,Indicator Code,Indicator Name,Number of Records,Year,Value
FRA,France,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1968,
FRA,France,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1968,
FRA,France,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1968,71.309756098
FRA,France,,SP.POP.TOTL,"Population, total",1,1968,51175508
DEU,Germany,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1968,
DEU,Germany,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1968,
DEU,Germany,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1968,
DEU,Germany,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1968,
DEU,Germany,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1968,70.465097561
DEU,Germany,,SP.POP.TOTL,"Population, total",1,1968,77294314
HKG,"Hong Kong SAR, China",,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1968,
HKG,"Hong Kong SAR, China",,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1968,
HKG,"Hong Kong SAR, China",,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1968,
HKG,"Hong Kong SAR, China",,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1968,
HKG,"Hong Kong SAR, China",,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1968,70.690536585
HKG,"Hong Kong SAR, China",,SP.POP.TOTL,"Population, total",1,1968,3802700
ISL,Iceland,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1968,
ISL,Iceland,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1968,
ISL,Iceland,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1968,
ISL,Iceland,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1968,
ISL,Iceland,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1968,74.005853659
ISL,Iceland,,SP.POP.TOTL,"Population, total",1,1968,201488
SGP,Singapore,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1968,
SGP,Singapore,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1968,
SGP,Singapore,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1968,5525.427392190
SGP,Singapore,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1968,
IRL,Ireland,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1960,
IRL,Ireland,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1960,
IRL,Ireland,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1960,
IRL,Ireland,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1960,
IRL,Ireland,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1960,69.796512195
IRL,Ireland,,SP.POP.TOTL,"Population, total",1,1960,2828600
AUS,Australia,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1961,19447.755173859
AUS,Australia,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1961,
AUS,Australia,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1961,
AUS,Australia,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1961,
AUS,Australia,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1961,70.973170732
